sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100342318;SN: 2100342318
;SB 5000TL-20;SB 5000TL-20
;2100342318;2100342318
;Total yield;Power
;Counter;Analog
dd/MM/yyyy hh:mm tt;kWh;kW
07/11/2010 11:30 AM;946.000;4.788
07/11/2010 11:35 AM;946.361;4.332
07/11/2010 11:40 AM;946.684;3.876
07/11/2010 11:45 AM;947.043;4.308
07/11/2010 11:50 AM;947.413;4.440
07/11/2010 11:55 AM;947.782;4.428
07/11/2010 12:00 PM;948.140;4.296
07/11/2010 12:05 PM;948.512;4.464
07/11/2010 12:10 PM;948.796;3.408
07/11/2010 12:15 PM;949.028;2.784
07/11/2010 12:20 PM;949.398;4.440
07/11/2010 12:25 PM;949.717;3.828
07/11/2010 12:30 PM;950.045;3.936
07/11/2010 12:35 PM;950.353;3.696
07/11/2010 12:40 PM;950.653;3.600
07/11/2010 12:45 PM;950.990;4.044
07/11/2010 12:50 PM;951.318;3.936
07/11/2010 12:55 PM;951.643;3.900
07/11/2010 01:00 PM;951.962;3.828
07/11/2010 01:05 PM;952.278;3.792
07/11/2010 01:10 PM;952.590;3.744
07/11/2010 01:15 PM;952.907;3.804
07/11/2010 01:20 PM;953.210;3.636
07/11/2010 01:25 PM;953.508;3.576
07/11/2010 01:30 PM;953.806;3.576
07/11/2010 01:35 PM;954.098;3.504
07/11/2010 01:40 PM;954.380;3.384
07/11/2010 01:45 PM;954.663;3.396
07/11/2010 01:50 PM;954.939;3.312
07/11/2010 01:55 PM;955.212;3.276
07/11/2010 02:00 PM;955.468;3.072
07/11/2010 02:05 PM;955.724;3.072
07/11/2010 02:10 PM;955.973;2.988
07/11/2010 02:15 PM;956.210;2.844
07/11/2010 02:20 PM;956.446;2.832
07/11/2010 02:25 PM;956.675;2.748
07/11/2010 02:30 PM;956.898;2.676
07/11/2010 02:35 PM;957.113;2.580
07/11/2010 02:40 PM;957.286;2.076
07/11/2010 02:45 PM;957.494;2.496
07/11/2010 02:50 PM;957.671;2.124
07/11/2010 02:55 PM;957.873;2.424
07/11/2010 03:00 PM;958.065;2.304
07/11/2010 03:05 PM;958.245;2.160
07/11/2010 03:10 PM;958.414;2.028
07/11/2010 03:15 PM;958.574;1.920
07/11/2010 03:20 PM;958.727;1.836
07/11/2010 03:25 PM;958.871;1.728
